3F8;0200;3F9;0200;3F8;0200;000;03F8;0000;0100
3F9;EE19;3FA;EE19;413;0000;000;0019;0000;0100;413;0000
3FA;AE16;3FB;AE16;411;F5D8;000;0016;F5D8;1000
3FB;0C00;3FC;0C00;7FF;F5D8;7FF;03FB;F5D8;1000;7FF;F5D8
3FC;D700;700;D700;7FE;03FD;7FE;D700;F5D8;1000;7FE;03FD
700;AC01;701;AC01;7FF;F5D8;7FE;0001;F5D8;1000
701;F001;702;F001;701;F001;7FE;0701;F5D8;1000
702;F304;703;F304;702;F304;7FE;0702;F5D8;1000
703;6E0B;704;6E0B;70F;F5F4;7FE;000B;FFE4;1000
704;F201;706;F201;704;F201;7FE;0001;FFE4;1000
706;4E08;707;4E08;70F;F5F4;7FE;0008;F5D8;1001
707;0500;708;0500;707;F5D8;7FE;0707;EBB0;1001
708;0500;709;0500;708;EBB0;7FE;0708;D760;1001
709;4C01;70A;4C01;7FF;F5D8;7FE;0001;CD38;1001
70A;4E05;70B;4E05;710;00F7;7FE;0005;CE2F;1000
70B;CE01;70D;CE01;70B;070D;7FE;0001;CE2F;1000
70D;EC01;70E;EC01;7FF;CE2F;7FE;0001;CE2F;1000;7FF;CE2F
70E;0A00;3FD;0A00;7FE;03FD;7FF;070E;CE2F;1000
3FD;0800;3FE;0800;7FF;CE2F;000;03FD;CE2F;1000
3FE;0740;3FF;0740;3FE;0740;000;03FE;CE2E;1001
3FF;6E13;400;6E13;413;0000;000;0013;CE2E;1001
400;EE12;401;EE12;413;CE2E;000;0012;CE2E;1001;413;CE2E
401;AE0E;402;AE0E;410;F975;000;000E;F975;1001
402;0740;403;0740;402;0740;000;0402;F974;1001
403;0C00;404;0C00;7FF;F974;7FF;0403;F974;1001;7FF;F974
404;D700;700;D700;7FE;0405;7FE;D700;F974;1001;7FE;0405
700;AC01;701;AC01;7FF;F974;7FE;0001;F974;1001
701;F001;702;F001;701;F001;7FE;0701;F974;1001
702;F304;703;F304;702;F304;7FE;0702;F974;1001
703;6E0B;704;6E0B;70F;F5F4;7FE;000B;0380;0001
704;F201;705;F201;704;F201;7FE;0704;0380;0001
705;CE06;70C;CE06;705;070C;7FE;0006;0380;0001
70C;AE02;70D;AE02;70F;F5F4;7FE;0002;F5F4;1001
70D;EC01;70E;EC01;7FF;F5F4;7FE;0001;F5F4;1001;7FF;F5F4
70E;0A00;405;0A00;7FE;0405;7FF;070E;F5F4;1001
405;0800;406;0800;7FF;F5F4;000;0405;F5F4;1001
406;0700;407;0700;406;0700;000;0406;F5F5;1000
407;4E0B;408;4E0B;413;CE2E;000;000B;C423;1001
408;EE0A;409;EE0A;413;C423;000;000A;C423;1001;413;C423
409;AE08;40A;AE08;412;0755;000;0008;0755;0001
40A;0C00;40B;0C00;7FF;0755;7FF;040A;0755;0001;7FF;0755
40B;D700;700;D700;7FE;040C;7FE;D700;0755;0001;7FE;040C
700;AC01;701;AC01;7FF;0755;7FE;0001;0755;0001
701;F001;702;F001;701;F001;7FE;0701;0755;0001
702;F304;707;F304;702;F304;7FE;0004;0755;0001
707;0500;708;0500;707;0755;7FE;0707;0EAA;0000
708;0500;709;0500;708;0EAA;7FE;0708;1D54;0000
709;4C01;70A;4C01;7FF;0755;7FE;0001;24A9;0000
70A;4E05;70B;4E05;710;00F7;7FE;0005;25A0;0000
70B;CE01;70D;CE01;70B;070D;7FE;0001;25A0;0000
70D;EC01;70E;EC01;7FF;25A0;7FE;0001;25A0;0000;7FF;25A0
70E;0A00;40C;0A00;7FE;040C;7FF;070E;25A0;0000
40C;0800;40D;0800;7FF;25A0;000;040C;25A0;0000
40D;4E05;40E;4E05;413;C423;000;0005;E9C3;1000
40E;EE04;40F;EE04;413;E9C3;000;0004;E9C3;1000;413;E9C3
40F;0100;410;0100;40F;0100;000;040F;E9C3;1000